Key Pressed,Hold Duration (s),Key Release Time (s),Key Press Time (s)
a,0.1149,4.3107,4.1958
l,0.1556,4.8936,4.738
space,0.1568,5.3383,5.1815
l,0.1185,5.7663,5.6479
a,0.157,6.214,6.057
d,0.1801,6.7588,6.5788
o,0.1377,7.1167,6.979
period,0.1181,10.4445,10.3264
space,0.165,12.2051,12.0401
e,0.1661,13.3555,13.1894
l,0.1848,13.7817,13.5969
p,0.1439,14.473,14.3291
r,0.1484,15.3747,15.2262
i,0.1623,16.0252,15.8629
m,0.1652,16.9557,16.7905
e,0.1283,17.6655,17.5372
r,0.1942,18.0267,17.8325
space,0.1339,24.5437,24.4098
mouse_left,0.1004,24.7846,24.6842
d,0.1722,25.5978,25.4255
i,0.138,25.9395,25.8015
a,0.1648,26.5195,26.3547
space,0.1394,29.9848,29.8454
mouse_left,0.1006,30.2415,30.141
d,0.1506,30.7949,30.6443
e,0.1978,31.6279,31.4301
space,0.1857,32.0015,31.8158
mouse_left,0.1004,32.132,32.0317
v,0.1599,32.507,32.3471
i,0.1502,33.2363,33.0861
a,0.1687,34.0073,33.8387
j,0.1325,34.6965,34.564
e,0.167,35.4477,35.2807
space,0.1036,39.2297,39.1261
mouse_left,0.101,39.4358,39.3348
l,0.1294,39.7085,39.5791
l,0.1844,40.045,39.8605
e,0.1113,40.5213,40.41
g,0.1934,41.3955,41.2021
a,0.1835,42.6648,42.4813
r,0.154,43.3451,43.191
o,0.1117,43.7232,43.6115
n,0.1448,44.4371,44.2924
mouse_left,0.1003,44.6069,44.5066
space,0.1912,46.7531,46.5619
a,0.1487,50.4877,50.3391
space,0.1553,51.0128,50.8575
u,0.1318,51.5562,51.4243
n,0.1725,51.9817,51.8092
space,0.1576,52.3297,52.1721
p,0.1502,52.8816,52.7314
u,0.1118,53.7909,53.6791
e,0.1402,54.2111,54.0709
b,0.1365,55.6408,55.5043
mouse_left,0.0856,55.7116,55.6259
o,0.1578,56.781,56.6232
space,0.0996,58.7409,58.6413
l,0.1368,73.036,72.8992
o,0.1126,73.5726,73.46
period,0.1082,78.9057,78.7975
