Key Pressed,Hold Duration (s),Key Release Time (s),Key Press Time (s)
space,0.083,0.2957,0.2127
BackSpace,0.0702,1.0494,0.9792
BackSpace,0.0833,1.1962,1.1129
l,0.0783,3.8119,3.7336
space,0.0883,4.0028,3.9145
p,0.0831,4.7956,4.7125
a,0.125,4.9988,4.8738
s,0.0752,5.1882,5.113
r,0.0745,5.5812,5.5067
BackSpace,0.0688,6.989,6.9203
BackSpace,0.0652,7.142,7.0769
BackSpace,0.0704,7.2932,7.2228
BackSpace,0.0629,7.4423,7.3794
BackSpace,0.0656,7.5918,7.5262
p,0.0883,8.362,8.2737
s,0.1399,9.3203,9.1804
r,0.0787,9.6529,9.5742
space,0.0909,10.253,10.1621
p,0.1129,12.1975,12.0846
o,0.0901,12.2454,12.1553
r,0.1079,12.5249,12.4171
space,0.0758,12.5578,12.482
l,0.0823,12.7121,12.6298
a,0.1488,13.0404,12.8916
space,0.0804,13.2313,13.1509
c,0.0948,14.086,13.9912
a,0.1128,14.3,14.1872
l,0.0343,14.5803,14.546
l,0.0823,14.7435,14.6612
e,0.1654,15.0514,14.886
space,0.0834,15.0819,14.9985
p,0.094,15.3015,15.2075
r,0.1049,16.411,16.3061
i,0.0785,16.5326,16.4541
n,0.0879,16.7242,16.6363
i,0.0747,17.0536,16.9789
p,0.0773,17.3211,17.2437
a,0.1872,17.7695,17.5823
l,0.0974,17.8639,17.7665
space,0.1063,18.9231,18.8168
d,0.1183,20.6254,20.5071
e,0.1268,20.9172,20.7904
l,0.0838,20.9652,20.8813
space,0.0615,21.1034,21.0419
p,0.0734,21.2853,21.2119
u,0.071,21.4693,21.3983
e,0.1363,21.7057,21.5694
b,0.0739,21.7744,21.7005
l,0.0866,21.9842,21.8976
o,0.0831,22.1622,22.0791
space,0.0861,23.7891,23.703
period,0.0708,25.352,25.2812
space,0.0608,25.5266,25.4657
n,0.0876,26.7045,26.6168
space,0.0831,27.0229,26.9398
e,0.0861,27.5206,27.4345
s,0.0969,27.7797,27.6828
e,0.0906,28.0014,27.9108
space,0.0693,28.1035,28.0342
m,0.0827,28.3331,28.2504
o,0.0774,28.4971,28.4197
m,0.0866,28.6813,28.5947
e,0.0914,28.8547,28.7634
n,0.0755,28.9463,28.8709
t,0.1,29.2468,29.1468
o,0.0728,29.3978,29.3249
space,0.0791,29.8107,29.7316
e,0.1303,30.4261,30.2958
l,0.079,30.4833,30.4044
space,0.0822,30.6661,30.5839
a,0.1022,30.9407,30.8385
b,0.1003,31.0384,30.938
u,0.0786,31.1427,31.064
e,0.1429,31.4616,31.3187
l,0.0818,31.5232,31.4413
o,0.0791,31.7354,31.6563
space,0.0786,32.1639,32.0853
i,0.0763,32.6707,32.5944
b,0.0686,33.0008,32.9322
a,0.1627,33.3994,33.2367
space,0.0701,33.5621,33.492
s,0.1116,34.1637,34.0521
e,0.1208,34.4572,34.3364
n,0.084,34.5213,34.4373
t,0.0761,34.7584,34.6823
a,0.1089,34.9072,34.7983
d,0.1169,35.2074,35.0904
o,0.066,35.3511,35.2851
space,0.0805,35.817,35.7365
s,0.1521,36.6551,36.5031
o,0.0771,36.6967,36.6196
b,0.0758,36.919,36.8432
r,0.1619,37.2753,37.1134
e,0.162,37.5324,37.3704
space,0.1222,37.9581,37.8359
e,0.1382,39.2161,39.0779
l,0.0754,39.2894,39.214
space,0.0751,39.4905,39.4155
b,0.1145,39.7313,39.6168
u,0.0763,39.8189,39.7426
r,0.1158,40.1218,40.006
r,0.1056,40.3583,40.2527
o,0.0834,40.4979,40.4145
space,0.0815,41.0182,40.9367
y,0.0718,41.5755,41.5037
space,0.0864,41.7771,41.6907
e,0.1464,42.5603,42.4139
l,0.0709,42.6134,42.5425
space,0.0703,42.7996,42.7294
n,0.108,43.0212,42.9132
i,0.084,43.1007,43.0167
e,0.1033,43.328,43.2247
t,0.1352,44.2817,44.1465
o,0.0727,44.4171,44.3444
space,0.0953,45.3193,45.224
i,0.0688,46.2999,46.2311
b,0.0758,46.5069,46.431
a,0.1413,46.8092,46.6679
space,0.0789,46.9129,46.834
c,0.1576,47.2123,47.0547
m,0.093,47.6711,47.5781
i,0.0706,47.8199,47.7492
n,0.0783,47.9836,47.9053
a,0.1705,48.193,48.0224
n,0.0753,48.228,48.1527
d,0.1869,48.5737,48.3868
o,0.0788,48.6269,48.548
space,0.0835,49.1262,49.0427
l,0.0752,49.6299,49.5547
space,0.0753,49.8013,49.726
l,0.0893,49.9714,49.8821
d,0.1557,50.3777,50.222
o,0.066,50.4679,50.4019
space,0.078,50.8339,50.7559
period,0.073,51.3528,51.2798
Return,0.0838,51.7887,51.7049
space,0.0785,52.0842,52.0057
l,0.0699,53.1832,53.1133
space,0.0774,53.4273,53.3499
p,0.0808,54.0951,54.0143
a,0.1232,54.2896,54.1663
s,0.1438,54.6578,54.5139
r,0.0828,55.9667,55.8839
BackSpace,0.096,57.5474,57.4514
BackSpace,0.068,57.9816,57.9136
BackSpace,0.0713,58.1591,58.0878
BackSpace,0.056,58.3263,58.2703
BackSpace,0.0906,58.5912,58.5006
D,0.1135,59.5296,59.4161
e,0.1005,59.8391,59.7386
c,0.1409,60.3981,60.2572
i,0.0604,60.5348,60.4744
n,0.069,62.9203,62.8512
period,0.0955,63.4639,63.3685
Return,0.0658,64.9258,64.86
BackSpace,0.0873,65.4162,65.3289
BackSpace,0.0737,65.6258,65.5521
Return,0.0798,66.8837,66.8039
Return,0.0607,67.2402,67.1795
Up,0.0577,68.4581,68.4004
Up,0.0625,68.6594,68.5969
Delete,0.028,70.6258,70.5979
Delete,0.0427,70.7914,70.7487
Delete,0.0424,70.9913,70.9489
Down,0.0676,71.8245,71.757
Down,0.0504,72.1604,72.1101
space,0.136,72.8904,72.7544
a,0.1459,74.7152,74.5693
r,0.0866,74.7843,74.6977
a,0.1659,75.0002,74.8343
c,0.0689,75.0666,74.9977
e,0.1361,75.5025,75.3664
BackSpace,0.0606,76.5355,76.4748
BackSpace,0.0611,76.7027,76.6416
BackSpace,0.0659,76.8938,76.828
e,0.1091,77.4046,77.2955
c,0.0837,77.7555,77.6718
e,0.1087,77.9745,77.8658
space,0.0836,78.3702,78.2867
m,0.0788,79.0156,78.9368
e,0.0887,79.2322,79.1436
n,0.0872,79.3358,79.2486
t,0.0965,79.6234,79.5269
i,0.0757,79.7027,79.6271
r,0.0777,79.9909,79.9132
a,0.1485,80.5061,80.3577
space,0.0532,81.5475,81.4944
exclam,0.1155,86.6517,86.5362
space,0.0971,87.276,87.1789
u,0.0694,88.8045,88.735
e,0.148,89.1957,89.0477
space,0.069,89.3039,89.2349
c,0.126,89.7332,89.6072
a,0.1582,90.1584,90.0002
m,0.0735,90.1703,90.0968
i,0.1083,90.6327,90.5244
o,0.1081,90.7154,90.6073
space,0.0822,92.2343,92.1521
BackSpace,0.0742,94.3995,94.3253
BackSpace,0.0695,94.5673,94.4978
BackSpace,0.0743,94.7523,94.678
BackSpace,0.0703,94.9261,94.8557
BackSpace,0.0685,95.1029,95.0344
BackSpace,0.0778,95.2811,95.2033
