Key Pressed,Hold Duration (s),Key Release Time (s),Key Press Time (s)
t,0.1233,3.5257,3.4023
o,0.155,3.7809,3.6259
d,0.1393,4.1047,3.9654
o,0.1587,4.2233,4.0646
space,0.1513,4.4104,4.2592
e,0.1424,4.6905,4.5481
l,0.0971,4.9343,4.8371
space,0.13,5.1374,5.0074
d,0.139,5.4788,5.3399
i,0.1278,5.7356,5.6078
n,0.1469,5.9459,5.799
e,0.1347,6.0545,5.9198
r,0.0711,6.2937,6.2225
o,0.1423,6.6976,6.5553
space,0.1812,7.455,7.2737
y,0.127,8.5212,8.3942
space,0.0961,8.9112,8.8151
c,0.1577,9.9153,9.7576
u,0.1834,10.4872,10.3038
a,0.1397,10.8765,10.7368
n,0.1325,12.9435,12.811
d,0.1573,13.3141,13.1569
o,0.1479,13.6164,13.4684
space,0.108,13.7947,13.6867
v,0.1469,14.352,14.2051
i,0.1082,14.5046,14.3964
o,0.1719,14.9165,14.7446
space,0.1424,15.0993,14.9569
a,0.1623,15.6593,15.4971
l,0.0935,16.4046,16.3111
space,0.1019,16.5475,16.4456
r,0.0775,17.2243,17.1467
e,0.0558,17.4294,17.3736
y,0.099,19.39,19.2911
space,0.0749,21.8295,21.7546
y,0.076,22.125,22.049
space,0.1125,22.3202,22.2076
c,0.1836,22.7995,22.6159
o,0.0867,22.9621,22.8754
m,0.0915,23.2601,23.1686
p,0.1222,23.6447,23.5225
r,0.0849,23.8131,23.7282
o,0.0929,23.9849,23.8921
b,0.1503,24.359,24.2088
o,0.1142,24.5065,24.3923
space,0.1378,25.2534,25.1156
q,0.1143,28.2643,28.15
u,0.1321,28.7384,28.6063
e,0.1045,28.9253,28.8208
space,0.146,29.2272,29.0812
r,0.0948,29.4062,29.3115
BackSpace,0.1301,30.1682,30.0381
e,0.0892,30.2443,30.1551
r,0.0952,30.4659,30.3707
a,0.1365,30.8913,30.7549
space,0.1933,31.4781,31.2848
u,0.0882,32.6595,32.5713
n,0.091,32.9865,32.8954
space,0.1405,33.3213,33.1808
h,0.1672,33.7775,33.6103
o,0.0886,33.8835,33.7949
m,0.1318,34.2312,34.0993
b,0.0925,34.4077,34.3152
r,0.0693,34.7005,34.6312
e,0.097,34.9244,34.8274
space,0.1062,35.1466,35.0404
c,0.1626,35.3924,35.2297
o,0.09,35.6217,35.5317
m,0.0934,35.9079,35.8145
o,0.1609,36.2607,36.0997
space,0.1112,36.3669,36.2557
e,0.134,36.8054,36.6714
l,0.1429,37.2549,37.1119
comma,0.1187,38.2686,38.1499
space,0.1669,38.4716,38.3046
p,0.1191,38.7736,38.6545
e,0.0872,38.9629,38.8757
n,0.1098,39.448,39.3382
s,0.1453,39.7985,39.6531
o,0.1591,40.1634,40.0043
colon,0.1985,43.2026,43.004
space,0.1629,44.8272,44.6642
quotedbl,0.1022,45.3978,45.2956
p,0.1038,46.7752,46.6715
o,0.1114,47.3103,47.1988
e,0.0963,47.7103,47.614
BackSpace,0.16,48.5966,48.4366
r,0.1524,48.7679,48.6155
space,0.2024,49.1537,48.9513
v,0.0939,50.1611,50.0673
e,0.0823,50.4363,50.354
r,0.0911,50.6525,50.5614
space,0.1415,51.0334,50.8919
u,0.0707,52.038,51.9673
n,0.0737,52.2919,52.2182
space,0.0913,52.5196,52.4283
s,0.1222,52.908,52.7858
i,0.0942,53.2659,53.1717
m,0.0893,53.5807,53.4914
p,0.0734,53.8874,53.814
l,0.1275,54.1559,54.0284
e,0.1222,54.4602,54.3379
space,0.2055,54.8613,54.6559
h,0.1232,55.4483,55.3252
o,0.0889,55.6091,55.5201
m,0.1395,55.9992,55.8597
b,0.087,56.1178,56.0308
