Key Pressed,Hold Duration (s),Key Release Time (s),Key Press Time (s)
Left,0.073,4.8335,4.7605
Left,0.0734,5.0178,4.9444
Left,0.0584,5.1863,5.1278
Left,0.0625,5.36,5.2975
Left,0.0712,5.5401,5.4688
i,0.093,6.8386,6.7456
c,0.1163,7.3268,7.2105
mouse_left,0.0988,7.4658,7.367
a,0.1843,7.6251,7.4408
r,0.171,7.9912,7.8201
space,0.1089,8.1853,8.0764
l,0.1138,8.6618,8.548
a,0.1974,8.9603,8.7629
space,0.1104,9.1895,9.079
c,0.1794,9.674,9.4946
a,0.1612,10.3828,10.2216
u,0.1056,10.7307,10.6251
s,0.1136,11.2274,11.1137
a,0.1414,11.5225,11.3811
space,0.1043,13.2412,13.1369
a,0.1826,27.7022,27.5197
r,0.1619,28.0653,27.9035
space,0.1735,28.6963,28.5228
l,0.1086,31.0334,30.9248
a,0.1626,31.2529,31.0903
space,0.1068,31.4644,31.3577
c,0.1247,31.7888,31.6641
u,0.0952,32.4566,32.3614
s,0.1538,33.1762,33.0224
space,0.1539,34.6239,34.47
l,0.1647,68.3034,68.1387
a,0.1735,68.5069,68.3334
s,0.1693,68.7132,68.544
space,0.1483,68.9561,68.8079
t,0.1344,69.4135,69.2791
r,0.1578,69.6535,69.4957
e,0.1081,70.1391,70.031
s,0.1404,70.4943,70.3539
space,0.1193,70.7323,70.613
p,0.1005,71.0809,70.9804
mouse_left,0.0989,71.4614,71.3625
r,0.1617,71.5234,71.3617
i,0.1035,71.7784,71.6749
n,0.0976,72.1046,72.007
c,0.114,72.6426,72.5286
e,0.1004,72.8897,72.7893
s,0.1313,73.336,73.2047
a,0.1705,73.5934,73.4229
s,0.1684,73.8261,73.6577
space,0.1396,74.1032,73.9636
space,0.1409,77.7711,77.6302
h,0.0979,78.2323,78.1344
i,0.1123,78.4678,78.3556
c,0.1428,78.8865,78.7437
i,0.1054,79.0828,78.9774
e,0.1415,79.5829,79.4413
r,0.1538,79.8901,79.7363
o,0.0755,80.3667,80.2912
n,0.1175,80.7163,80.5988
space,0.1535,82.3536,82.2001
m,0.1189,82.9838,82.8649
u,0.0884,83.3084,83.22
y,0.0856,83.5405,83.4549
space,0.1224,83.8872,83.7648
d,0.0957,84.2462,84.1505
e,0.1136,84.4858,84.3722
l,0.0772,84.7558,84.6787
i,0.0879,85.0123,84.9245
c,0.1059,85.3607,85.2548
a,0.1247,85.6764,85.5517
d,0.1064,85.9555,85.8491
a,0.1196,86.2305,86.1109
s,0.1277,86.5041,86.3765
period,0.1105,91.5302,91.4196
Return,0.0885,92.4003,92.3118
a,0.1682,97.6038,97.4355
space,0.1833,98.0474,97.8642
p,0.1587,98.5544,98.3958
r,0.1564,99.2706,99.1142
i,0.1188,99.5122,99.3934
n,0.1425,100.5226,100.38
c,0.1131,100.8431,100.73
e,0.1048,101.1373,101.0325
s,0.1178,101.6374,101.5196
a,0.1307,101.9093,101.7786
space,0.1211,102.3377,102.2167
u,0.1457,105.7483,105.6026
a,0.1315,106.9831,106.8517
n,0.1491,107.6286,107.4796
a,0.1147,107.8209,107.7062
comma,0.1107,110.5689,110.4582
space,0.0789,110.955,110.8761
l,0.1187,112.0235,111.9048
a,0.1192,112.3559,112.2367
space,0.1362,112.6538,112.5176
m,0.1409,113.0843,112.9435
a,0.146,113.3518,113.2058
y,0.1037,114.4167,114.313
o,0.1012,115.0839,114.9827
r,0.1306,115.7703,115.6397
space,0.1306,116.0243,115.8937
d,0.0927,116.5257,116.433
e,0.093,116.7421,116.6492
space,0.1218,116.9415,116.8197
t,0.1382,117.2441,117.1059
o,0.1084,117.5063,117.3979
d,0.1085,117.9546,117.8461
a,0.1533,118.2463,118.093
s,0.2033,118.5095,118.3062
space,0.1577,120.2423,120.0846
BackSpace,0.1183,123.9474,123.8291
comma,0.1168,124.9602,124.8434
e,0.1137,127.8272,127.7135
s,0.1612,128.138,127.9768
t,0.1385,128.9169,128.7784
a,0.1933,129.6538,129.4605
b,0.1315,130.0647,129.9332
space,0.1486,133.4591,133.3105
p,0.1664,137.5076,137.3411
a,0.1435,137.8146,137.6711
s,0.1537,138.1476,137.9939
e,0.1287,138.4121,138.2834
a,0.1627,138.9847,138.8219
n,0.1299,139.2012,139.0713
d,0.1532,139.7435,139.5902
o,0.1138,140.0305,139.9167
space,0.1357,141.7898,141.654
t,0.0929,142.2529,142.16
r,0.1277,142.5128,142.3851
a,0.1266,143.3448,143.2182
n,0.1168,143.6256,143.5088
q,0.1353,144.1567,144.0214
u,0.0876,144.3383,144.2507
i,0.1001,144.7239,144.6239
l,0.1182,145.4071,145.2889
a,0.1109,145.6941,145.5832
m,0.1069,145.9332,145.8263
e,0.1405,146.434,146.2935
n,0.1212,146.6868,146.5656
r,0.1341,147.0321,146.898
BackSpace,0.1226,150.7085,150.5859
t,0.1398,151.7609,151.6211
space,0.1295,154.2876,154.1581
o,0.1483,155.2245,155.0762
r,0.1561,155.6557,155.4995
space,0.1385,156.3033,156.1648
w,0.0961,156.9246,156.8285
mouse_left,0.101,156.9746,156.8736
BackSpace,0.1242,158.0965,157.9723
e,0.1462,158.6311,158.4849
l,0.1111,158.8255,158.7144
space,0.1192,159.0546,158.9354
j,0.121,159.5966,159.4756
a,0.1503,159.8304,159.6801
r,0.1178,160.1465,160.0286
d,0.1404,160.8007,160.6603
mouse_left,0.1,160.9876,160.8876
i,0.1086,161.0029,160.8943
n,0.1377,161.5697,161.432
BackSpace,0.1454,167.2072,167.0617
BackSpace,0.1307,168.4256,168.2949
mouse_left,0.1761,177.5546,177.3786
space,0.0738,179.0644,178.9906
e,0.1443,179.4698,179.3256
l,0.1191,179.6911,179.5721
space,0.1621,180.1985,180.0364
j,0.115,181.7188,181.6038
a,0.1557,181.9812,181.8255
r,0.114,182.6755,182.5615
d,0.1486,183.4793,183.3307
i,0.1184,184.0212,183.9028
n,0.1485,184.5175,184.369
space,0.1515,187.1635,187.012
d,0.1088,187.8157,187.7069
e,0.1282,188.0676,187.9393
l,0.1178,188.2509,188.1331
space,0.1453,188.4933,188.348
p,0.14,188.8748,188.7349
a,0.1256,189.1181,188.9925
l,0.131,189.5844,189.4534
a,0.1262,189.7913,189.6651
c,0.1386,190.1896,190.051
i,0.0958,190.5321,190.4363
o,0.1275,190.8114,190.684
comma,0.1282,193.1484,193.0202
space,0.1106,195.7138,195.6032
c,0.173,196.7035,196.5305
u,0.1214,196.9363,196.8149
a,0.1365,197.2635,197.127
n,0.1226,197.5654,197.4428
d,0.1529,197.8981,197.7452
o,0.1083,198.0954,197.9871
space,0.1362,198.3903,198.2541
u,0.1106,198.7779,198.6673
n,0.1212,199.1007,198.9795
a,0.1272,199.3191,199.1919
BackSpace,0.1006,200.6545,200.5539
o,0.1129,201.112,200.9991
s,0.184,201.4345,201.2504
space,0.1689,204.2713,204.1024
e,0.086,208.9307,208.8446
BackSpace,0.1303,210.9152,210.7849
BackSpace,0.1317,211.5107,211.379
acute,0.1204,214.4418,214.3214
BackSpace,0.1479,216.3552,216.2073
BackSpace,0.1609,216.7958,216.6349
e,0.1345,220.7572,220.6227
BackSpace,0.1433,221.9849,221.8417
BackSpace,0.1383,222.6212,222.483
e,0.1254,224.8495,224.7241
BackSpace,0.1051,226.4179,226.3128
BackSpace,0.0949,226.6614,226.5665
BackSpace,0.0486,226.8529,226.8044
p,0.1221,228.6131,228.4909
e,0.1448,229.054,228.9093
t,0.1143,229.3288,229.2145
a,0.1348,230.0391,229.9043
l,0.1023,230.1805,230.0782
o,0.1053,230.3999,230.2946
s,0.1647,230.6473,230.4826
space,0.1021,230.967,230.8648
d,0.0824,232.6374,232.555
e,0.1431,233.0004,232.8573
space,0.1473,233.2239,233.0766
r,0.1381,233.789,233.6509
o,0.1253,234.0834,233.9581
s,0.139,235.2093,235.0703
a,0.1819,235.4738,235.292
s,0.1432,235.7294,235.5862
space,0.1969,238.4434,238.2466
l,0.1642,240.1329,239.9687
e,0.1476,240.3746,240.227
space,0.096,240.6078,240.5118
mouse_left,0.0976,241.2114,241.1138
r,0.1344,241.2293,241.0949
o,0.1363,242.0824,241.9461
z,0.0783,242.5205,242.4422
a,0.1229,242.7919,242.669
r,0.1146,243.1968,243.0822
o,0.1287,243.9346,243.8059
n,0.1103,244.63,244.5197
space,0.1336,245.0127,244.8791
r,0.1353,260.5669,260.4316
o,0.1279,260.8543,260.7264
z,0.1124,261.4443,261.3319
a,0.1349,261.7051,261.5702
r,0.1518,262.1396,261.9878
o,0.1037,262.6213,262.5176
n,0.159,263.5086,263.3496
space,0.1478,265.2733,265.1255
l,0.1278,265.8931,265.7652
i,0.1112,266.5124,266.4012
g,0.1612,267.9873,267.8261
