Key Pressed,Hold Duration (s),Key Release Time (s),Key Press Time (s)
space,0.0909,3.6607,3.5698
p,0.0937,4.4744,4.3807
o,0.082,4.6385,4.5564
r,0.0862,4.926,4.8397
space,0.095,5.0936,4.9986
l,0.0862,5.553,5.4668
a,0.12,6.771,6.6509
space,0.0668,6.9382,6.8714
c,0.0863,7.2602,7.1739
a,0.0913,7.4112,7.3199
l,0.0752,7.7113,7.6361
l,0.0762,7.8726,7.7964
e,0.0823,8.0916,8.0094
space,0.0643,8.191,8.1266
p,0.0834,8.633,8.5495
r,0.0775,8.7917,8.7142
i,0.0753,9.0737,8.9984
n,0.0844,9.2807,9.1964
c,0.1004,9.5365,9.4361
i,0.0788,9.6633,9.5845
p,0.0882,9.9568,9.8686
space,0.1006,12.7306,12.63
d,0.0919,13.5456,13.4537
e,0.0917,13.6677,13.576
l,0.0735,13.814,13.7405
space,0.0884,14.0475,13.9591
p,0.0941,14.2951,14.201
u,0.0652,14.4835,14.4183
e,0.0829,14.6275,14.5446
b,0.0876,14.9967,14.9091
l,0.0963,15.2597,15.1634
o,0.0761,15.4047,15.3286
space,0.0749,15.6711,15.5962
a,0.0963,16.0276,15.9313
l,0.0784,16.2122,16.1338
g,0.0832,16.5256,16.4424
u,0.0702,16.6845,16.6144
n,0.0924,16.9822,16.8899
space,0.0732,23.9608,23.8876
p,0.083,24.7086,24.6256
e,0.1132,24.9506,24.8374
r,0.0781,25.0999,25.0218
s,0.0831,25.3652,25.2821
o,0.0783,25.451,25.3727
n,0.0791,25.6812,25.6021
a,0.1132,25.8549,25.7417
s,0.1005,26.0598,25.9593
space,0.0878,27.1621,27.0743
e,0.0701,28.6168,28.5467
space,0.0755,28.7741,28.6986
e,0.0832,29.047,28.9637
n,0.0776,29.2262,29.1486
f,0.0721,29.4381,29.3659
a,0.0828,29.6247,29.5419
d,0.0706,29.903,29.8324
a,0.0966,30.0948,29.9982
r,0.0787,30.3209,30.2422
o,0.0876,30.5778,30.4901
n,0.0794,30.8267,30.7473
space,0.0921,31.5553,31.4633
u,0.0923,32.6671,32.5748
a,0.0781,32.8312,32.7531
n,0.0744,32.929,32.8546
d,0.0833,33.2285,33.1452
o,0.0745,33.364,33.2896
space,0.0704,33.5747,33.5043
v,0.106,33.858,33.752
i,0.0722,34.0108,33.9387
e,0.1052,34.2128,34.1077
r,0.0787,34.363,34.2843
o,0.08,34.4737,34.3937
n,0.0684,34.7016,34.6332
space,0.0709,35.0256,34.9547
a,0.1009,36.6374,36.5365
l,0.0788,36.7699,36.6911
space,0.0604,37.0336,36.9731
v,0.1,37.3008,37.2009
i,0.0836,37.4199,37.3363
e,0.0878,37.5584,37.4705
h,0.0577,37.6293,37.5715
j,0.0841,37.6513,37.5672
o,0.0796,37.831,37.7513
space,0.0954,38.6608,38.5654
s,0.1149,39.5852,39.4703
o,0.0737,39.7142,39.6406
b,0.0872,40.0035,39.9163
space,0.0754,40.505,40.4296
e,0.083,40.7404,40.6574
l,0.0599,40.8328,40.7729
space,0.0648,41.055,40.9902
b,0.0824,41.3483,41.2659
u,0.0746,41.5736,41.499
r,0.0704,41.8012,41.7308
r,0.0844,41.9594,41.8749
o,0.1007,42.5999,42.4992
space,0.1002,43.2335,43.1333
y,0.0756,43.7393,43.6637
space,0.0826,43.9817,43.8991
a,0.091,44.4391,44.3481
l,0.073,44.5348,44.4618
space,0.0658,44.7728,44.707
n,0.0827,45.0683,44.9856
i,0.0783,45.2475,45.1692
ntilde,0.1061,45.9627,45.8566
o,0.068,46.124,46.056
space,0.0782,47.3419,47.2637
c,0.0878,48.011,47.9231
a,0.0878,48.185,48.0973
m,0.0831,48.3219,48.2388
i,0.0823,48.4926,48.4103
n,0.0779,48.6705,48.5925
a,0.0783,48.799,48.7207
n,0.077,48.9251,48.8481
o,0.0667,50.9535,50.8869
period,0.0732,51.4165,51.3433
space,0.0703,51.7165,51.6462
d,0.0878,52.1841,52.0963
e,0.0778,52.3227,52.2449
c,0.0876,52.7197,52.6321
[65105],0.0734,53.2008,53.1274
i,0.079,53.5441,53.4651
a,0.096,53.7025,53.6065
n,0.0782,53.8319,53.7536
space,0.078,54.6738,54.5958
colon,0.081,56.2696,56.1886
Return,0.0689,59.1517,59.0828
Return,0.0911,64.3178,64.2267
exclamdown,0.0828,70.9901,70.9073
P,0.0953,71.7278,71.6325
Caps_Lock,0.0807,72.2792,72.1984
a,0.0942,72.2902,72.1959
r,0.0913,72.694,72.6027
e,0.1076,72.8549,72.7472
c,0.0918,73.2263,73.1345
d,0.0687,73.3645,73.2958
e,0.0795,73.3711,73.2916
space,0.0852,73.6511,73.5659
m,0.0716,74.0096,73.938
e,0.0916,74.1377,74.0461
n,0.0728,74.2643,74.1915
t,0.0738,74.4259,74.3521
i,0.0725,74.6204,74.5479
r,0.0872,74.7546,74.6674
a,0.1019,76.0404,75.9385
Caps_Lock,0.081,77.78,77.699
BackSpace,0.0661,79.1768,79.1107
BackSpace,0.0699,79.342,79.2721
BackSpace,0.0743,79.4938,79.4195
BackSpace,0.0727,79.6366,79.5639
BackSpace,0.0729,79.7856,79.7127
BackSpace,0.0753,79.9345,79.8592
BackSpace,0.0702,80.0705,80.0003
BackSpace,0.0702,80.2119,80.1416
BackSpace,0.073,80.3515,80.2786
BackSpace,0.073,80.5028,80.4298
BackSpace,0.0747,80.6493,80.5746
BackSpace,0.0753,80.8031,80.7278
BackSpace,0.058,80.9476,80.8896
r,0.0893,82.3665,82.2772
e,0.0913,82.4995,82.4082
c,0.088,82.7798,82.6918
e,0.0764,82.9118,82.8354
space,0.069,83.1063,83.0373
m,0.0641,83.3388,83.2747
e,0.0876,83.5101,83.4224
n,0.0844,83.6012,83.5169
t,0.08,83.7899,83.7099
i,0.0753,84.003,83.9277
r,0.0731,84.4377,84.3646
a,0.0944,85.1679,85.0734
exclam,0.096,88.9929,88.8969
space,0.0873,91.4998,91.4125
exclamdown,0.0923,92.9144,92.8221
Q,0.0749,94.1778,94.1028
u,0.0851,97.4311,97.3459
e,0.0789,97.5704,97.4915
space,0.0626,97.8105,97.7478
BackSpace,0.0734,99.2109,99.1375
BackSpace,0.0686,100.6186,100.5501
v,0.0954,101.2407,101.1453
i,0.0825,101.5033,101.4208
e,0.0912,101.7103,101.6191
j,0.11,102.4604,102.3503
o,0.0896,102.5925,102.5029
BackSpace,0.0656,104.0995,104.034
BackSpace,0.0666,104.2595,104.1929
BackSpace,0.0705,104.4119,104.3413
BackSpace,0.0787,104.574,104.4953
BackSpace,0.0702,104.7398,104.6696
space,0.0477,105.6665,105.6187
v,0.0956,106.0229,105.9272
i,0.0785,106.1815,106.1029
w,0.0879,106.6318,106.5439
e,0.0874,106.636,106.5486
BackSpace,0.0693,108.772,108.7027
BackSpace,0.0741,108.931,108.8569
e,0.1005,110.0938,109.9933
j,0.0831,110.3467,110.2636
o,0.0795,110.5276,110.4482
space,0.088,111.1985,111.1105
t,0.0878,116.7325,116.6446
n,0.0746,117.5676,117.493
space,0.0657,117.7881,117.7225
e,0.0876,118.0557,117.9682
g,0.0833,118.3691,118.2858
o,0.0774,118.6139,118.5364
i,0.0782,118.7929,118.7147
