Key Pressed,Hold Duration (s),Key Release Time (s),Key Press Time (s)
l,0.2473,1.5604,1.3131
space,0.2035,4.219,4.0155
p,0.245,6.8793,6.6343
r,0.1773,15.0135,14.8362
i,0.1653,16.368,16.2027
m,0.1676,18.1464,17.9787
e,0.2046,18.915,18.7104
r,0.1724,19.5054,19.333
space,0.1302,22.09,21.9599
d,0.1969,29.739,29.5421
i,0.1781,30.7638,30.5857
a,0.17,31.8445,31.6745
space,0.1213,34.7003,34.579
d,0.1835,43.0011,42.8177
e,0.1406,44.3616,44.221
space,0.1753,46.2271,46.0518
v,0.1598,51.0594,50.8996
i,0.1653,52.3389,52.1735
a,0.218,53.6311,53.4131
e,0.1955,56.2502,56.0547
space,0.1607,57.0867,56.926
l,0.1698,60.8465,60.6767
l,0.1123,61.3256,61.2134
g,0.1612,67.6637,67.5025
a,0.227,68.4274,68.2005
r,0.1422,72.169,72.0268
o,0.1428,74.5391,74.3963
n,0.153,75.3761,75.2231
space,0.1885,76.2388,76.0503
a,0.1828,78.9728,78.79
space,0.1374,79.6905,79.5531
u,0.1596,89.4886,89.3289
n,0.1418,91.7929,91.6511
space,0.1297,92.9117,92.782
p,0.1657,95.9292,95.7635
u,0.1779,102.2355,102.0576
e,0.2359,103.3651,103.1291
b,0.156,107.4726,107.3165
l,0.1374,110.7794,110.6419
o,0.1207,111.5656,111.4449
space,0.1247,113.0258,112.901
i,0.1282,117.88,117.7518
b,0.1337,120.93,120.7963
a,0.1557,121.5469,121.3912
space,0.1129,122.0018,121.889
s,0.1299,129.9265,129.7966
e,0.1561,130.3988,130.2427
n,0.1413,131.2029,131.0616
t,0.137,134.5681,134.4311
a,0.1896,135.7018,135.5122
d,0.1028,139.3254,139.2226
o,0.1184,141.0779,140.9595
space,0.1712,144.4055,144.2343
s,0.1392,147.3503,147.2111
o,0.1543,149.8197,149.6654
b,0.191,151.0721,150.8812
r,0.1177,158.8382,158.7206
e,0.1446,159.6278,159.4831
space,0.152,161.7828,161.6308
e,0.1683,167.8219,167.6536
l,0.1354,168.7691,168.6337
space,0.1037,170.2213,170.1176
b,0.1532,186.5233,186.3701
u,0.1441,187.7506,187.6065
r,0.1563,192.1947,192.0384
r,0.1848,192.7559,192.5711
o,0.1741,195.8825,195.7083
space,0.166,198.6369,198.4709
y,0.1597,200.952,200.7924
space,0.1078,202.2181,202.1103
e,0.2239,210.7255,210.5017
l,0.1527,211.772,211.6192
space,0.0955,212.9183,212.8228
n,0.1861,218.2888,218.1027
i,0.1567,219.2635,219.1068
e,0.2019,220.3727,220.1708
t,0.1275,221.2695,221.142
o,0.1093,222.4975,222.3881
space,0.1562,224.3136,224.1574
s,0.1542,232.1236,231.9694
e,0.184,233.2086,233.0246
space,0.1219,235.1236,235.0018
i,0.1959,276.4926,276.2966
b,0.1481,280.7594,280.6113
a,0.1766,281.3334,281.1568
space,0.1578,285.1468,284.989
c,0.143,309.4091,309.2662
a,0.2198,310.0149,309.7951
m,0.2105,310.7775,310.567
i,0.1844,311.5418,311.3575
n,0.2054,313.1313,312.9259
a,0.1889,313.9271,313.7382
n,0.1139,315.6745,315.5606
d,0.103,319.5704,319.4674
o,0.1022,321.1581,321.0559
space,0.1669,323.2082,323.0413
a,0.2283,326.2045,325.9762
l,0.1316,326.8651,326.7335
space,0.1447,327.6087,327.464
l,0.1505,330.8699,330.7194
a,0.1887,331.8156,331.627
d,0.1279,340.4496,340.3217
o,0.0958,342.5949,342.4991
period,0.0881,350.3176,350.2295
a,0.1856,358.3133,358.1277
l,0.1668,358.9313,358.7645
space,0.1125,366.5398,366.4273
p,0.119,384.4999,384.381
a,0.1769,385.3719,385.195
s,0.1281,385.9891,385.861
a,0.1989,386.5879,386.389
r,0.1504,388.2074,388.057
space,0.1146,390.3818,390.2672
p,0.1313,398.8179,398.6865
o,0.1308,400.9432,400.8125
r,0.1409,409.6749,409.534
l,0.1597,415.7085,415.5488
a,0.1675,416.3354,416.1679
space,0.1721,416.9501,416.7781
c,0.1053,439.2498,439.1444
a,0.1578,440.0802,439.9224
l,0.1531,440.8126,440.6596
l,0.1361,441.3856,441.2495
e,0.1369,443.1281,442.9912
space,0.2141,444.2431,444.029
p,0.1571,451.2003,451.0431
r,0.1266,453.4245,453.2979
i,0.1064,454.6049,454.4986
n,0.1453,456.5358,456.3905
c,0.1554,458.0683,457.9129
i,0.1703,458.9868,458.8165
p,0.1495,468.9302,468.7808
a,0.2422,469.8236,469.5814
l,0.1289,471.6381,471.5092
space,0.15,473.0734,472.9234
d,0.1631,482.1794,482.0163
l,0.1465,484.1016,483.9551
space,0.1444,493.3023,493.1579
p,0.1489,498.1314,497.9825
u,0.1614,501.4893,501.3279
e,0.1547,503.2901,503.1354
b,0.1344,511.9525,511.8181
l,0.1476,513.7845,513.6369
o,0.1093,514.7399,514.6306
space,0.1828,517.4432,517.2604
a,0.2011,533.0612,532.8601
l,0.169,533.9326,533.7636
g,0.1263,535.4724,535.3461
u,0.1621,538.0984,537.9363
n,0.1498,539.2482,539.0984
a,0.1807,540.3365,540.1558
s,0.1022,541.0458,540.9436
space,0.1645,541.9539,541.7893
p,0.1677,544.5519,544.3842
e,0.1723,545.6944,545.5222
r,0.1571,546.3395,546.1823
s,0.2324,548.6076,548.3752
o,0.1985,550.1161,549.9175
n,0.1461,551.0734,550.9274
s,0.123,553.8996,553.7766
space,0.1228,554.9681,554.8453
