Key Pressed,Hold Duration (s),Key Release Time (s),Key Press Time (s)
space,0.0619,0.2615,0.1995
p,0.0598,0.5937,0.5339
r,0.0781,0.9229,0.8448
s,0.0692,1.371,1.3018
o,0.0654,1.5798,1.5144
n,0.0683,1.8203,1.752
a,0.1005,2.0191,1.9186
s,0.0798,3.2887,3.2089
space,0.068,4.0534,3.9854
s,0.112,4.5162,4.4042
e,0.0736,4.6872,4.6135
space,0.0687,4.8953,4.8266
e,0.0936,5.0915,4.9979
n,0.0591,5.2807,5.2216
f,0.0847,5.4472,5.3626
o,0.0679,6.1047,6.0367
o,0.0732,6.5731,6.4999
n,0.0931,7.4222,7.3291
space,0.0638,7.8897,7.8259
c,0.0924,8.495,8.4026
u,0.0698,8.6932,8.6233
a,0.0779,8.8627,8.7849
n,0.0679,9.0852,9.0173
d,0.1166,9.3481,9.2314
o,0.0734,9.6585,9.5851
space,0.0601,10.0079,9.9478
v,0.0935,10.4761,10.3826
i,0.0636,10.6475,10.5839
r,0.0921,11.0639,10.9718
o,0.0675,11.2313,11.1638
n,0.07,11.6141,11.544
space,0.0699,11.8147,11.7447
l,0.0774,12.1857,12.1083
space,0.0658,12.4291,12.3633
i,0.0657,12.8255,12.7598
e,0.0908,13.0478,12.957
j,0.0801,13.24,13.1599
o,0.075,13.9931,13.9181
space,0.0618,14.5264,14.4646
s,0.0927,16.0531,15.9604
o,0.0519,16.2852,16.2334
b,0.0655,16.5837,16.5182
r,0.0696,16.7399,16.6702
e,0.0866,16.971,16.8844
space,0.0608,17.1378,17.0769
e,0.0783,17.3826,17.3043
l,0.0708,17.5371,17.4663
space,0.0605,17.8003,17.7398
b,0.0879,18.2191,18.1312
u,0.0529,18.4573,18.4044
r,0.0785,18.7934,18.715
r,0.0833,19.0028,18.9195
o,0.0654,19.6327,19.5673
space,0.0605,19.9538,19.8933
y,0.0539,20.3182,20.2643
space,0.0652,20.5853,20.5201
a,0.088,20.7966,20.7086
l,0.0735,20.9745,20.901
space,0.0702,21.1984,21.1283
n,0.0665,21.4069,21.3404
i,0.0401,21.5829,21.5428
ntilde,0.0801,22.1118,22.0317
o,0.0662,22.438,22.3718
space,0.0574,23.5478,23.4905
v,0.0624,24.2447,24.1823
BackSpace,0.0359,25.136,25.1001
c,0.076,25.4127,25.3367
a,0.0755,25.6446,25.5691
m,0.069,25.87,25.801
i,0.0705,26.0768,26.0063
n,0.0732,26.304,26.2308
a,0.0745,26.4887,26.4141
n,0.0625,26.6528,26.5903
d,0.0957,26.8904,26.7948
o,0.0611,27.6543,27.5931
period,0.0449,29.3467,29.3018
space,0.0556,29.6738,29.6181
D,0.0532,30.7945,30.7413
e,0.0742,31.2506,31.1764
c,0.0822,31.634,31.5518
[65105],0.0599,32.8837,32.8238
i,0.0368,33.4898,33.453
a,0.059,33.7264,33.6674
n,0.0538,34.4924,34.4386
space,0.0494,35.5117,35.4623
colon,0.0426,36.1622,36.1196
space,0.059,37.0804,37.0214
p,0.0501,37.7336,37.6835
a,0.0855,37.9134,37.8279
r,0.0763,38.1359,38.0596
e,0.0818,38.3577,38.2758
c,0.0864,38.6009,38.5146
e,0.0899,38.8171,38.7271
space,0.0644,39.0255,38.961
e,0.0642,39.2452,39.1811
BackSpace,0.0413,40.4898,40.4484
m,0.067,42.9786,42.9116
e,0.0909,43.1697,43.0789
n,0.0618,43.3444,43.2825
t,0.0862,44.1459,44.0597
i,0.0605,44.6284,44.5679
r,0.0908,44.8522,44.7614
o,0.0776,45.7828,45.7053
exclamdown,0.0705,52.4417,52.3713
space,0.0526,53.4273,53.3747
Q,0.0566,55.6504,55.5938
u,0.0605,56.1527,56.0923
space,0.0645,58.1275,58.063
v,0.104,59.6097,59.5057
i,0.0477,59.7728,59.7251
e,0.0641,59.9748,59.9107
j,0.0736,60.2069,60.1333
o,0.0692,60.4653,60.3961
space,0.0655,61.0751,61.0096
t,0.0606,61.5543,61.4938
a,0.1028,61.9086,61.8057
n,0.07,62.0463,61.9763
space,0.0642,62.2985,62.2343
e,0.0852,62.5443,62.4591
g,0.0781,63.1382,63.0601
o,0.0735,63.761,63.6875
i,0.0644,64.064,63.9995
s,0.1073,64.3089,64.2016
t,0.0637,64.562,64.4983
a,0.0722,65.3878,65.3156
exclamdown,0.0593,67.3012,67.2419
space,0.0532,68.1952,68.142
v,0.0632,69.0744,69.0112
a,0.0807,69.2781,69.1975
space,0.0571,69.4481,69.391
m,0.0719,69.6761,69.6042
o,0.0783,69.8776,69.7993
n,0.0741,70.0919,70.0178
t,0.0566,70.2465,70.1898
a,0.0921,70.5524,70.4602
d,0.0859,70.8198,70.7339
o,0.0689,71.5561,71.4872
space,0.0605,72.6147,72.5542
e,0.0814,73.1198,73.0384
n,0.0625,73.2757,73.2132
space,0.0597,73.4612,73.4015
e,0.0826,73.6479,73.5653
l,0.061,73.8187,73.7578
space,0.0767,74.0497,73.973
b,0.1141,74.2811,74.167
u,0.0468,74.424,74.3772
r,0.0774,74.6438,74.5664
r,0.0766,74.8526,74.7759
o,0.0689,75.0956,75.0267
space,0.058,75.5789,75.5209
y,0.0499,76.3291,76.2792
space,0.0631,76.5917,76.5285
e,0.0761,76.819,76.7429
l,0.0744,76.9938,76.9194
space,0.0668,77.219,77.1522
p,0.0779,77.4784,77.4005
o,0.0541,77.6152,77.561
b,0.0634,78.0067,77.9433
r,0.0853,78.2114,78.1261
e,0.0684,78.6187,78.5503
space,0.0512,78.966,78.9148
n,0.0636,79.4606,79.397
i,0.0449,79.7099,79.665
ntilde,0.0637,80.3876,80.3239
o,0.057,80.7773,80.7203
space,0.0605,81.1387,81.0781
a,0.0808,81.4131,81.3323
space,0.0579,81.5749,81.517
p,0.0636,82.0888,82.0251
i,0.0635,83.7517,83.6882
period,0.0658,85.0875,85.0217
space,0.0605,86.581,86.5205
l,0.0572,88.959,88.9018
space,0.0503,89.174,89.1237
s,0.097,89.58,89.483
a,0.0698,89.8123,89.7424
l,0.0778,90.0278,89.9499
i,0.0459,90.1718,90.1259
r,0.0623,91.3646,91.3023
space,0.0582,91.6485,91.5903
d,0.0822,91.8501,91.7679
e,0.0911,92.0767,91.9856
l,0.064,92.2491,92.1851
space,0.0603,92.4669,92.4066
p,0.0783,92.7117,92.6334
u,0.0609,92.9238,92.863
e,0.0565,93.0718,93.0153
b,0.0522,93.3022,93.25
l,0.0778,93.5858,93.508
o,0.0786,94.6978,94.6192
comma,0.0683,96.2567,96.1885
space,0.0658,96.4925,96.4267
e,0.0759,96.7269,96.651
l,0.0692,96.8966,96.8274
space,0.0724,97.1385,97.066
a,0.1,97.3927,97.2927
b,0.0657,97.4942,97.4285
u,0.0581,97.794,97.7359
l,0.0786,98.7999,98.7212
o,0.0647,99.4353,99.3706
space,0.062,100.2865,100.2245
s,0.0918,100.9624,100.8706
e,0.0795,101.1637,101.0843
space,0.051,101.2851,101.2341
b,0.0638,101.5301,101.4663
a,0.0765,101.7605,101.6841
j,0.0582,101.9858,101.9276
[65105],0.0628,103.2902,103.2274
o,0.0662,103.7574,103.6912
space,0.0754,104.2726,104.1972
d,0.0831,105.1089,105.0258
e,0.0805,105.4521,105.3716
l,0.0662,105.5433,105.4771
space,0.0689,105.8145,105.7456
b,0.0609,106.2176,106.1567
u,0.0609,106.4605,106.3995
r,0.0609,107.055,106.994
r,0.0747,107.268,107.1934
o,0.0806,107.6987,107.6181
period,0.0605,108.8685,108.808
space,0.0529,109.1033,109.0504
L,0.0606,109.9568,109.8962
l,0.0619,110.2497,110.1878
e,0.0774,110.5048,110.4274
g,0.0654,110.753,110.6876
a,0.1097,111.0569,110.9472
r,0.0732,111.2863,111.2131
o,0.0372,111.4422,111.405
n,0.0654,112.2867,112.2213
space,0.0705,112.5976,112.5271
a,0.083,112.8248,112.7418
space,0.0599,113.0549,112.995
p,0.0305,113.4169,113.3864
o,0.0515,113.4333,113.3818
t,0.0852,113.6888,113.6036
r,0.0753,113.9036,113.8283
o,0.0654,114.0552,113.9898
space,0.0704,114.3159,114.2455
p,0.08,114.5834,114.5033
u,0.0699,114.7858,114.7159
e,0.0831,114.9774,114.8943
b,0.0624,115.22,115.1576
l,0.0616,115.5149,115.4533
o,0.0572,116.1171,116.0598
period,0.0484,117.1013,117.0528
space,0.0568,117.39,117.3332
o,0.0698,120.767,120.6972
m,0.0834,121.4215,121.3382
o,0.106,121.75,121.6439
space,0.0528,122.2431,122.1903
u,0.0484,122.6734,122.625
BackSpace,0.0411,123.546,123.5049
i,0.057,123.9478,123.8908
n,0.053,124.2821,124.2292
BackSpace,0.0633,125.0315,124.9682
b,0.0815,126.0064,125.9249
a,0.1022,126.1825,126.0803
n,0.0708,126.9079,126.8371
space,0.0787,128.0758,127.997
c,0.0813,131.8782,131.7969
a,0.0761,132.53,132.4539
m,0.0769,132.7957,132.7188
i,0.0636,133.016,132.9524
n,0.0664,133.2356,133.1693
a,0.0782,133.4249,133.3467
n,0.0618,133.587,133.5252
d,0.0704,133.8144,133.744
o,0.0508,134.0013,133.9504
space,0.0677,134.2313,134.1636
l,0.0687,134.4787,134.41
o,0.0763,134.7062,134.6299
s,0.0952,134.9011,134.8059
space,0.069,135.0596,134.9905
d,0.0806,135.2769,135.1963
o,0.0677,135.4131,135.3454
s,0.1009,135.6705,135.5696
space,0.0744,135.8445,135.7702
j,0.0602,136.1539,136.0938
u,0.0606,136.3567,136.2961
n,0.076,136.5854,136.5093
t,0.0778,136.798,136.7202
o,0.0696,136.969,136.8994
space,0.0599,140.6968,140.6369
a,0.0844,141.1827,141.0983
l,0.0628,141.341,141.2783
space,0.0612,141.5927,141.5315
b,0.1034,141.8613,141.7579
u,0.0557,142.0538,141.9981
r,0.0688,142.289,142.2202
r,0.0752,142.4675,142.3922
o,0.0619,143.3218,143.26
comma,0.0694,144.1417,144.0723
space,0.0533,144.3582,144.3049
u,0.0704,144.6315,144.5611
n,0.0728,144.8534,144.7806
space,0.0628,145.0331,144.9703
g,0.0873,145.2879,145.2006
r,0.0915,145.5622,145.4706
u,0.0566,145.7336,145.6771
p,0.0786,146.0243,145.9458
o,0.0531,146.1808,146.1277
space,0.0704,146.4458,146.3754
e,0.0801,147.0419,146.9618
space,0.058,147.5304,147.4724
m,0.0707,148.0001,147.9295
u,0.0574,148.26,148.2027
h,0.056,148.7527,148.6966
c,0.0803,149.5711,149.4907
h,0.0605,149.7329,149.6724
o,0.0754,150.0264,149.9511
s,0.0717,150.9426,150.8709
space,0.0587,151.3255,151.2668
s,0.1006,151.6246,151.524
e,0.0833,151.8273,151.744
r,0.0759,152.2722,152.1962
i,0.0472,152.4434,152.3962
[65105],0.0687,152.9951,152.9264
o,0.0697,153.535,153.4654
space,0.0658,154.2761,154.2103
d,0.0796,154.6812,154.6016
e,0.0877,154.9167,154.8291
space,0.067,155.0835,155.0164
e,0.0652,155.2908,155.2256
l,0.0521,155.4699,155.4178
l,0.0833,155.6601,155.5768
o,0.0659,155.8697,155.8038
s,0.0782,156.0969,156.0187
