Key Pressed,Hold Duration (s),Key Release Time (s),Key Press Time (s)
i,0.0847,0.2439,0.1593
a,0.13,0.3784,0.2484
space,0.0823,0.5694,0.487
l,0.072,1.4638,1.3918
a,0.0996,1.6847,1.5851
space,0.0712,1.8644,1.7933
s,0.083,1.953,1.8699
e,0.0833,2.1594,2.0761
g,0.0751,2.4046,2.3295
u,0.083,2.597,2.514
n,0.0751,2.9735,2.8985
d,0.0863,3.3553,3.2689
a,0.1077,3.5441,3.4363
space,0.083,3.6455,3.5625
p,0.0831,3.9316,3.8485
r,0.0735,4.1971,4.1236
i,0.0552,4.4317,4.3765
n,0.0659,4.6922,4.6263
c,0.0841,4.9867,4.9025
e,0.1259,5.2074,5.0815
s,0.091,5.4375,5.3465
a,0.0783,5.5834,5.5051
space,0.0749,5.7554,5.6805
J,0.068,6.1015,6.0335
u,0.0656,6.3099,6.2443
a,0.083,6.4974,6.4144
n,0.0744,6.6361,6.5617
a,0.1102,6.8052,6.695
space,0.0831,7.3342,7.2511
s,0.0627,7.7747,7.712
e,0.0823,7.9962,7.9139
space,0.07,8.1906,8.1207
d,0.1127,8.3524,8.2397
e,0.0813,8.4686,8.3873
s,0.1039,8.7296,8.6257
p,0.0697,8.8756,8.8058
e,0.0958,9.0117,8.9159
r,0.091,9.1442,9.0532
t,0.0808,9.407,9.3261
o,0.0661,9.5332,9.4671
space,0.0743,9.8141,9.7398
c,0.0776,10.0829,10.0053
o,0.0665,10.1802,10.1137
n,0.0737,10.4136,10.3399
space,0.0813,10.6162,10.5349
u,0.0654,10.879,10.8136
n,0.072,11.1385,11.0665
Caps_Lock,0.0514,11.2782,11.2269
a,0.077,11.2922,11.2152
space,0.0654,12.492,12.4267
g,0.0705,13.2272,13.1567
r,0.0661,13.4928,13.4267
a,0.131,13.6968,13.5659
n,0.0751,13.9649,13.8898
space,0.075,14.1845,14.1095
h,0.0657,14.4273,14.3616
e,0.1012,14.5636,14.4624
r,0.1077,14.7195,14.6118
i,0.0654,14.8965,14.8311
d,0.0962,15.0585,14.9623
a,0.1184,15.2532,15.1348
space,0.0829,15.3465,15.2636
e,0.0965,15.534,15.4375
n,0.0705,15.5864,15.5159
space,0.0703,15.7839,15.7136
l,0.0785,16.0034,15.9249
a,0.0972,16.0077,15.9105
space,0.08,16.2256,16.1456
e,0.072,16.4273,16.3553
s,0.0909,16.6603,16.5695
p,0.0745,16.8035,16.7291
a,0.083,16.925,16.8421
l,0.0688,17.0519,16.9832
d,0.0964,17.2948,17.1984
a,0.0961,17.4664,17.3703
period,0.0571,19.7325,19.6754
space,0.0697,19.9831,19.9134
c,0.0657,20.6601,20.5944
u,0.062,20.937,20.875
a,0.1187,21.1648,21.0462
n,0.0707,21.2768,21.2061
d,0.098,21.4826,21.3846
o,0.065,21.5872,21.5222
space,0.0558,21.8917,21.8359
space,0.0587,23.4553,23.3967
b,0.0721,23.7735,23.7015
