Key Pressed,Hold Duration (s),Key Release Time (s),Key Press Time (s)
y,0.2584,19.3666,19.1082
a,0.1783,20.133,19.9547
s,0.1469,24.7973,24.6504
i,0.1827,26.0139,25.8312
i,0.1996,36.3666,36.167
b,0.2537,37.4827,37.229
a,0.185,38.099,37.914
n,0.2619,38.892,38.63
space,0.19,42.1898,41.9998
h,0.2226,43.9566,43.734
a,0.1662,44.4054,44.2392
c,0.1966,45.7396,45.5429
i,0.2243,46.557,46.3327
e,0.1802,47.5099,47.3297
n,0.1895,48.4309,48.2414
d,0.1775,49.2412,49.0637
o,0.1973,49.8741,49.6768
space,0.2134,52.3282,52.1148
l,0.2284,59.0182,58.7898
space,0.1909,59.966,59.7751
v,0.1949,63.298,63.103
i,0.175,64.5979,64.4229
a,0.1793,65.0409,64.8616
j,0.1623,66.9833,66.821
e,0.1534,68.3274,68.174
space,0.1961,69.2212,69.0251
m,0.1874,73.8377,73.6502
a,0.1619,74.2621,74.1002
s,0.1805,74.7162,74.5357
space,0.2042,75.3092,75.105
c,0.1746,76.9599,76.7853
o,0.2089,77.6437,77.4348
m,0.1938,81.1662,80.9724
o,0.1406,82.9205,82.7799
d,0.1662,84.2841,84.1179
o,0.1889,85.0593,84.8705
period,0.1839,94.7261,94.5422
mouse_left,0.1686,100.23,100.0614
Caps_Lock,0.2009,103.8587,103.6578
e,0.1655,104.9866,104.8211
l,0.2053,106.3631,106.1577
space,0.2026,107.4309,107.2282
Caps_Lock,0.1526,112.6969,112.5443
p,0.1914,115.2423,115.0508
r,0.1711,116.6465,116.4754
i,0.1724,118.4396,118.2672
m,0.1946,120.0316,119.8371
e,0.1607,122.5567,122.396
r,0.1576,123.3509,123.1933
space,0.2439,124.091,123.847
d,0.1689,128.11,127.9411
i,0.2106,129.9857,129.7751
a,0.178,130.567,130.389
space,0.21,131.0612,130.8512
d,0.1734,139.9422,139.7688
e,0.1704,141.1543,140.9839
space,0.1834,141.8534,141.67
v,0.1479,143.7192,143.5714
i,0.2058,144.4415,144.2358
a,0.1748,145.1925,145.0176
j,0.2008,146.7031,146.5022
e,0.1425,147.5411,147.3986
space,0.2228,148.147,147.9242
m,0.1994,152.1159,151.9165
a,0.1477,152.7066,152.5589
s,0.1626,153.1859,153.0233
space,0.211,153.6232,153.4121
BackSpace,0.2037,161.1202,160.9165
BackSpace,0.1846,161.4784,161.2938
BackSpace,0.1871,161.8009,161.6139
BackSpace,0.2253,162.1898,161.9645
l,0.1724,165.3456,165.1732
l,0.1648,165.7285,165.5637
e,0.1609,166.5453,166.3844
g,0.1819,170.6434,170.4615
a,0.1513,171.1475,170.9962
r,0.1759,172.0664,171.8904
o,0.1914,172.9778,172.7864
n,0.153,174.5701,174.4171
space,0.2191,175.201,174.9819
a,0.1539,180.3374,180.1836
space,0.1795,180.9732,180.7937
u,0.1731,184.8726,184.6995
n,0.1528,185.4273,185.2745
space,0.2019,185.9327,185.7307
p,0.2046,188.435,188.2304
e,0.1711,192.8776,192.7064
b,0.1613,195.7357,195.5745
l,0.21,197.3967,197.1866
o,0.1665,197.8426,197.676
space,0.1657,198.4441,198.2784
period,0.219,201.7784,201.5594
Caps_Lock,0.1623,204.5815,204.4192
e,0.1831,206.2379,206.0548
n,0.1916,206.9477,206.7561
space,0.2143,207.5555,207.3412
e,0.1789,211.9351,211.7562
s,0.1487,212.528,212.3793
e,0.1825,213.1141,212.9315
space,0.1585,213.7376,213.5791
BackSpace,0.1653,218.8108,218.6455
BackSpace,0.1672,219.0982,218.9311
BackSpace,0.1623,219.3708,219.2085
BackSpace,0.2788,219.883,219.6042
BackSpace,0.242,221.0262,220.7842
n,0.2361,238.6445,238.4084
BackSpace,0.2005,241.9159,241.7154
Caps_Lock,0.1709,242.9423,242.7715
n,0.2722,244.0339,243.7617
space,0.219,245.5686,245.3496
e,0.1408,246.7675,246.6267
s,0.159,247.5908,247.4317
e,0.1843,248.0449,247.8606
space,0.1363,249.2742,249.1379
m,0.2143,253.8894,253.6751
o,0.235,255.401,255.1661
m,0.2099,256.1629,255.953
e,0.1395,257.0917,256.9522
n,0.1537,258.1007,257.947
t,0.1731,261.436,261.2629
o,0.2046,262.1782,261.9735
space,0.158,263.0204,262.8625
e,0.179,271.6531,271.4742
l,0.1922,272.4302,272.238
space,0.2055,272.9667,272.7612
a,0.1869,273.9741,273.7872
b,0.171,274.9508,274.7798
u,0.1745,276.1784,276.0039
e,0.1484,279.4905,279.3421
l,0.156,281.3547,281.1987
o,0.1985,281.8971,281.6985
space,0.1659,290.4592,290.2934
i,0.1938,292.1751,291.9813
b,0.1839,293.0683,292.8844
a,0.1846,293.5857,293.4011
space,0.1867,294.1759,293.9892
s,0.1585,302.5997,302.4412
a,0.1927,303.2727,303.08
BackSpace,0.2019,304.9076,304.7056
e,0.1396,305.8673,305.7278
n,0.1828,307.3169,307.134
t,0.1678,308.9302,308.7623
a,0.1538,309.8486,309.6948
d,0.1574,312.4843,312.3269
o,0.162,313.3092,313.1472
s,0.1647,319.6008,319.4362
o,0.1702,320.8276,320.6574
b,0.1861,321.9592,321.7731
r,0.1618,322.7307,322.5689
e,0.1449,324.1346,323.9897
space,0.1973,324.7501,324.5528
e,0.1596,329.7622,329.6026
l,0.182,330.688,330.506
space,0.1544,331.408,331.2535
b,0.158,336.2576,336.0995
u,0.1632,337.2971,337.1339
r,0.159,338.33,338.171
r,0.1486,338.8322,338.6836
o,0.1969,339.4837,339.2867
space,0.1464,350.7463,350.5999
y,0.1595,352.7921,352.6326
space,0.1746,353.4404,353.2658
e,0.1495,354.3769,354.2274
l,0.18,356.2354,356.0553
n,0.1782,367.4325,367.2543
i,0.1714,368.3209,368.1496
e,0.1586,369.0806,368.922
t,0.1408,370.4238,370.2829
o,0.1576,371.2015,371.044
space,0.2706,371.8814,371.6108
i,0.187,376.3523,376.1653
b,0.1648,377.6075,377.4427
a,0.1319,378.1996,378.0677
c,0.1595,382.5415,382.3821
a,0.1572,383.2832,383.126
m,0.1997,384.2954,384.0958
i,0.1427,385.1113,384.9686
n,0.1896,386.8108,386.6212
a,0.1606,387.3004,387.1398
n,0.1592,388.7045,388.5452
d,0.162,390.1453,389.9833
o,0.1956,390.9635,390.768
space,0.1878,391.5891,391.4013
a,0.1601,398.1199,397.9598
l,0.2193,400.488,400.2687
space,0.1609,401.0534,400.8925
l,0.2491,407.6787,407.4295
a,0.1652,408.1774,408.0122
d,0.1581,409.6016,409.4434
o,0.1569,410.2935,410.1366
space,0.2312,411.738,411.5067
mouse_left,0.1799,415.948,415.768
Caps_Lock,0.156,420.291,420.135
a,0.1489,421.0329,420.884
l,0.2798,422.1041,421.8242
BackSpace,0.244,430.2105,429.9665
BackSpace,0.2076,430.6617,430.4541
BackSpace,0.193,448.5564,448.3633
period,0.2402,456.29,456.0497
mouse_left,0.2526,464.2156,463.9629
mouse_left,0.253,468.5819,468.3289
mouse_left,0.2532,472.5358,472.2826
mouse_left,0.2774,479.5675,479.29
a,0.21,483.6029,483.3929
l,0.1739,485.8527,485.6787
space,0.1628,486.7584,486.5956
p,0.232,491.8751,491.6431
a,0.1541,492.3396,492.1855
s,0.1397,492.906,492.7662
a,0.1895,493.6354,493.4459
r,0.1849,495.4038,495.2189
space,0.2323,496.1989,495.9666
BackSpace,0.1803,498.9718,498.7915
BackSpace,0.1795,499.3518,499.1723
BackSpace,0.177,499.6574,499.4803
BackSpace,0.1622,499.9249,499.7626
BackSpace,0.1765,500.22,500.0434
BackSpace,0.2022,500.5259,500.3237
BackSpace,0.1727,500.8017,500.629
BackSpace,0.2641,501.1976,500.9335
l,0.1917,504.461,504.2693
space,0.1745,505.0775,504.9029
BackSpace,0.2508,507.9341,507.6833
BackSpace,0.2631,508.5948,508.3317
Caps_Lock,0.1958,510.0369,509.8411
l,0.1794,514.9063,514.7269
space,0.1795,515.5378,515.3583
BackSpace,0.1848,522.9828,522.798
BackSpace,0.2108,523.4108,523.2
Caps_Lock,0.2622,524.3644,524.1021
l,0.2099,527.9187,527.7088
space,0.1876,528.6404,528.4528
BackSpace,0.2436,539.7569,539.5133
BackSpace,0.2398,540.2625,540.0227
Caps_Lock,0.254,542.5018,542.2479
l,0.2545,545.5452,545.2906
BackSpace,0.2639,548.9583,548.6944
l,0.2415,554.4868,554.2453
space,0.176,557.6325,557.4566
p,0.2087,559.1702,558.9614
a,0.149,559.7201,559.5711
s,0.1487,560.2454,560.0967
a,0.1614,561.2551,561.0937
r,0.1791,562.3415,562.1624
